country,gdpp,income,child_mort,life_expec,KMeans_Cluster,DBSCAN_Cluster,Segment,dev_label
Mali,708,1870,137.0,59.5,1,0,At-Risk (Underdeveloped),Underdeveloped
Malta,21100,28300,6.8,80.3,0,-1,High-Value (Developed),Developed
Mauritania,1200,3320,97.4,68.2,1,0,At-Risk (Underdeveloped),Underdeveloped
Mauritius,8000,15900,15.0,73.4,2,0,Growth (Developing),Developing
"Micronesia, Fed. Sts.",2860,3340,40.0,65.4,2,0,Growth (Developing),Underdeveloped
Moldova,1630,3910,17.2,69.7,2,0,Growth (Developing),Developing
Mongolia,2650,7710,26.1,66.2,2,0,Growth (Developing),Developing
Montenegro,6680,14000,6.8,76.4,2,0,Growth (Developing),Developing
Morocco,2830,6440,33.5,73.5,2,0,Growth (Developing),Developing
Mozambique,419,918,101.0,54.5,1,0,At-Risk (Underdeveloped),Underdeveloped
Myanmar,988,3720,64.4,66.8,2,0,Growth (Developing),Underdeveloped
Namibia,5190,8460,56.0,58.6,1,0,At-Risk (Underdeveloped),Underdeveloped
Nepal,592,1990,47.0,68.3,2,0,Growth (Developing),Underdeveloped
Netherlands,50300,45500,4.5,80.7,0,0,High-Value (Developed),Developed
New Zealand,33700,32300,6.2,80.9,0,0,High-Value (Developed),Developed
Niger,348,814,123.0,58.8,1,0,At-Risk (Underdeveloped),Underdeveloped
Nigeria,2330,5150,130.0,60.5,1,-1,At-Risk (Underdeveloped),Underdeveloped
Norway,87800,62300,3.2,81.0,0,0,High-Value (Developed),Developed
Oman,19300,45300,11.7,76.1,2,0,Growth (Developing),Developed
Pakistan,1040,4280,92.1,65.3,1,0,At-Risk (Underdeveloped),Underdeveloped
Panama,8080,15400,19.7,77.8,2,0,Growth (Developing),Developing
Paraguay,3230,7290,24.1,74.1,2,0,Growth (Developing),Developing
Peru,5020,9960,20.3,77.9,2,0,Growth (Developing),Developing
Philippines,2130,5600,31.9,69.0,2,0,Growth (Developing),Developing
Poland,12600,21800,6.0,76.3,2,0,Growth (Developing),Developed
Portugal,22500,27200,3.9,79.8,0,0,High-Value (Developed),Developed
Qatar,70300,125000,9.0,79.5,0,-1,High-Value (Developed),Developed
Romania,8230,17800,11.5,73.7,2,0,Growth (Developing),Developing
Russia,10700,23100,10.0,69.2,2,0,Growth (Developing),Developing
Rwanda,563,1350,63.6,64.6,1,0,At-Risk (Underdeveloped),Underdeveloped
Samoa,3450,5400,18.9,71.5,2,0,Growth (Developing),Developing
Saudi Arabia,19300,45400,15.7,75.1,2,0,Growth (Developing),Developed
Senegal,1000,2180,66.8,64.0,1,0,At-Risk (Underdeveloped),Underdeveloped
Serbia,5410,12700,7.6,74.7,2,0,Growth (Developing),Developing
Seychelles,10800,20400,14.4,73.4,2,0,Growth (Developing),Developing
Sierra Leone,399,1220,160.0,55.0,1,0,At-Risk (Underdeveloped),Underdeveloped
Singapore,46600,72100,2.8,82.7,0,-1,High-Value (Developed),Developed
Slovak Republic,16600,25200,7.0,75.5,0,0,High-Value (Developed),Developed
Slovenia,23400,28700,3.2,79.5,0,0,High-Value (Developed),Developed
Solomon Islands,1290,1780,28.1,61.7,2,0,Growth (Developing),Underdeveloped
South Africa,7280,12000,53.7,54.3,1,0,At-Risk (Underdeveloped),Underdeveloped
South Korea,22100,30400,4.1,80.1,0,0,High-Value (Developed),Developed
Spain,30700,32500,3.8,81.9,0,0,High-Value (Developed),Developed
Sri Lanka,2810,8560,11.2,74.4,2,0,Growth (Developing),Developing
St. Vincent and the Grenadines,6230,9920,20.7,71.6,2,0,Growth (Developing),Developing
Sudan,1480,3370,76.7,66.3,1,0,At-Risk (Underdeveloped),Underdeveloped
Suriname,8300,14200,24.1,70.3,2,0,Growth (Developing),Developing
Sweden,52100,42900,3.0,81.5,0,0,High-Value (Developed),Developed
Switzerland,74600,55500,4.5,82.2,0,0,High-Value (Developed),Developed
Tajikistan,738,2110,52.4,69.6,2,0,Growth (Developing),Underdeveloped
Tanzania,702,2090,71.9,59.3,1,0,At-Risk (Underdeveloped),Underdeveloped
Thailand,5080,13500,14.9,76.6,2,0,Growth (Developing),Developing
Timor-Leste,3600,1850,62.6,71.1,1,0,At-Risk (Underdeveloped),Underdeveloped
Togo,488,1210,90.3,58.7,1,0,At-Risk (Underdeveloped),Underdeveloped
Tonga,3550,4980,17.4,69.9,2,0,Growth (Developing),Developing
Tunisia,4140,10400,17.4,76.9,2,0,Growth (Developing),Developing
Turkey,10700,18000,19.1,78.2,2,0,Growth (Developing),Developed
Turkmenistan,4440,9940,62.0,67.9,2,0,Growth (Developing),Underdeveloped
Uganda,595,1540,81.0,56.8,1,0,At-Risk (Underdeveloped),Underdeveloped
Ukraine,2970,7820,11.7,70.4,2,0,Growth (Developing),Developing
United Arab Emirates,35000,57600,8.6,76.5,0,0,High-Value (Developed),Developed
United Kingdom,38900,36200,5.2,80.3,0,0,High-Value (Developed),Developed
United States,48400,49400,7.3,78.7,0,0,High-Value (Developed),Developed
Uruguay,11900,17100,10.6,76.4,2,0,Growth (Developing),Developed
Uzbekistan,1380,4240,36.3,68.8,2,0,Growth (Developing),Developing
Vanuatu,2970,2950,29.2,63.0,2,0,Growth (Developing),Underdeveloped
Venezuela,13500,16500,17.1,75.4,2,0,Growth (Developing),Developed
Vietnam,1310,4490,23.3,73.1,2,0,Growth (Developing),Developing
Yemen,1310,4480,56.3,67.5,1,0,At-Risk (Underdeveloped),Underdeveloped
Zambia,1460,3280,83.1,52.0,1,0,At-Risk (Underdeveloped),Underdeveloped
